Appendix Table A. Real Gross Domestic Product and Related Aggregates: Percent Change from Preceding Period and Contributions to Percent Change,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Line,,2021,2022,2023,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,Seasonally adjusted at annual rates,,
Line,,2021,2022,2023,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,,
Line,,2021,2022,2023,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,,
,Percent change from preceding period,,,,,,,,,,,,,,,,,,,,,
,Gross domestic product (GDP) and related aggregates:,,,,,,,,,,,,,,,,,,,,,
1,GDP,5.8,1.9,2.5,-28.0,34.8,4.2,5.2,6.2,3.3,7.0,-2.0,-0.6,2.7,2.6,2.2,2.1,4.9,3.4,1.6,,
2,Goods,8.7,3.5,2.8,-28.0,72.3,1.5,4.0,6.4,1.6,19.0,-4.4,-3.1,7.9,6.2,-1.3,0.9,7.3,2.6,-2.4,,
3,Services,4.9,2.4,2.6,-28.1,21.4,4.0,6.0,7.9,5.5,2.7,-0.6,2.3,2.5,2.5,3.2,1.9,2.9,2.8,3.0,,
4,Structures,2.2,-6.4,1.0,-27.5,19.4,15.7,4.5,-4.9,-5.1,-3.7,-2.8,-9.5,-13.5,-9.6,8.9,7.7,10.0,10.4,6.5,,
5,Motor vehicle output,7.9,-2.5,5.7,-85.1,"1,189.9",-27.5,10.7,-8.7,-40.1,33.7,-12.5,4.3,15.3,-1.2,14.7,15.4,-7.1,-21.8,-6.4,,
6,GDP excluding motor vehicle output,5.7,2.1,2.5,-25.6,28.0,5.3,5.1,6.7,4.8,6.3,-1.7,-0.7,2.3,2.7,1.9,1.7,5.2,4.2,1.8,,
7,Nonfarm business gross value added 1,7.2,2.1,2.6,-32.8,45.8,5.4,6.5,7.3,3.4,8.9,-2.8,-1.1,2.8,2.8,1.8,2.0,5.8,3.8,1.3,,
,Contributions to percent change in real gross domestic product,,,,,,,,,,,,,,,,,,,,,
,Percent change at annual rate:,,,,,,,,,,,,,,,,,,,,,
8,Gross domestic product,5.8,1.9,2.5,-28.0,34.8,4.2,5.2,6.2,3.3,7.0,-2.0,-0.6,2.7,2.6,2.2,2.1,4.9,3.4,1.6,,
,Percentage points at annual rates:,,,,,,,,,,,,,,,,,,,,,
9,Goods,2.65,1.10,0.89,-7.55,19.64,0.57,1.38,2.09,0.56,5.66,-1.39,-0.99,2.44,1.95,-0.40,0.29,2.30,0.83,-0.73,,
10,Services,2.95,1.43,1.57,-17.82,13.42,2.36,3.48,4.59,3.22,1.64,-0.34,1.32,1.49,1.48,1.92,1.13,1.73,1.70,1.77,,
11,Structures,0.20,-0.59,0.09,-2.65,1.78,1.28,0.38,-0.47,-0.48,-0.34,-0.25,-0.89,-1.27,-0.86,0.72,0.63,0.83,0.86,0.55,,
12,Motor vehicle output,0.20,-0.07,0.15,-3.77,6.02,-0.93,0.27,-0.25,-1.33,0.75,-0.35,0.11,0.38,-0.03,0.37,0.40,-0.21,-0.65,-0.17,,
 ,,,,,,,,,,,,,,,,,,,,,,
"1. Consists of GDP less gross value added of farm, of households and institutions, and of general government.",,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
