Appendix Table B. Not Seasonally Adjusted Real Gross Domestic Product: Level and Percent Change from Quarter One Year Ago,,,,,,,,,,,,,,,,,,,,,,,
Line,,Billions of chained (2017) dollars at quarterly rates,Billions of chained (2017) dollars at quarterly rates,Billions of chained (2017) dollars at quarterly rates,Billions of chained (2017) dollars at quarterly rates,Billions of chained (2017) dollars at quarterly rates,Billions of chained (2017) dollars at quarterly rates,Billions of chained (2017) dollars at quarterly rates,Billions of chained (2017) dollars at quarterly rates,Billions of chained (2017) dollars at quarterly rates,Billions of chained (2017) dollars at quarterly rates,Percent change from quarter one year ago,Percent change from quarter one year ago,Percent change from quarter one year ago,Percent change from quarter one year ago,Percent change from quarter one year ago,Percent change from quarter one year ago,Percent change from quarter one year ago,Percent change from quarter one year ago,Percent change from quarter one year ago,,,
Line,,2021,2022,2022,2022,2022,2023,2023,2023,2023,2024,2022,2022,2022,2022,2023,2023,2023,2023,2024,,,
Line,,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,,,
1,Gross domestic product (GDP),"5,568.3","5,303.8","5,434.7","5,487.0","5,596.5","5,415.4","5,569.5","5,642.7","5,761.5","5,575.1",3.7,1.8,1.9,0.5,2.1,2.5,2.8,2.9,2.9,,,
2,Personal consumption expenditures,"3,849.8","3,637.5","3,777.9","3,775.0","3,900.4","3,723.3","3,854.2","3,864.7","3,996.1","3,831.2",4.7,2.3,2.1,1.3,2.4,2.0,2.4,2.5,2.9,,,
3,Gross private domestic investment,"1,040.0","1,032.6","1,018.0","1,059.2",993.0,981.4,993.9,"1,062.3","1,013.1","1,018.4",12.6,9.4,3.2,-4.5,-5.0,-2.4,0.3,2.0,3.8,,,
4,Net exports of goods and services,-248.7,-262.5,-283.0,-272.0,-233.5,-211.7,-233.0,-249.8,-222.5,-220.7,....,....,....,....,....,....,....,....,....,,,
5,Exports,609.4,573.0,607.8,623.7,635.1,613.1,623.3,621.9,644.9,614.3,4.9,7.3,11.6,4.2,7.0,2.6,-0.3,1.5,0.2,,,
6,Imports,858.0,835.5,890.8,895.7,868.6,824.7,856.3,871.7,867.5,835.0,13.1,12.2,8.7,1.2,-1.3,-3.9,-2.7,-0.1,1.2,,,
7,Government consumption expenditures and gross investment,926.5,895.3,918.9,921.3,935.0,921.2,952.4,963.7,974.4,946.4,-2.1,-2.1,-0.5,0.9,2.9,3.7,4.6,4.2,2.7,,,
,Addenda:,,,,,,,,,,,,,,,,,,,,,,
,Current dollar measures: (Billions of dollars),,,,,,,,,,,,,,,,,,,,,,
8,GDP,"6,271.5","6,098.9","6,414.3","6,539.2","6,701.5","6,546.7","6,802.4","6,927.6","7,081.8","6,926.1",10.8,9.6,9.4,6.9,7.3,6.1,5.9,5.7,5.8,,,
9,Gross domestic income,"6,340.9","6,309.1","6,340.3","6,516.3","6,630.6","6,729.0","6,567.5","6,606.6","7,005.8",....,12.2,10.8,10.2,4.6,6.7,3.6,1.4,5.7,....,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
