Country name,Ladder score,Logged GDP per capita
Finland,7.804,10.792
Denmark,7.586,10.962
Iceland,7.530,10.896
Israel,7.473,10.639
Netherlands,7.403,10.942
Sweden,7.395,10.883
Norway,7.315,11.088
Switzerland,7.240,11.164
Luxembourg,7.228,11.660
New Zealand,7.123,10.662
Austria,7.097,10.899
Australia,7.095,10.821
Canada,6.961,10.773
Ireland,6.911,11.527
United States,6.894,11.048
Germany,6.892,10.879
Belgium,6.859,10.844
Czechia,6.845,10.611
United Kingdom,6.796,10.704
Lithuania,6.763,10.568
France,6.661,10.701
Slovenia,6.650,10.588
Costa Rica,6.609,9.952
Romania,6.589,10.339
Singapore,6.587,11.571
United Arab Emirates,6.571,11.145
Taiwan Province of China,6.535,10.797
Uruguay,6.494,10.037
Slovakia,6.469,10.353
Saudi Arabia,6.463,10.715
Estonia,6.455,10.541
Spain,6.436,10.540
Italy,6.405,10.634
Kosovo,6.368,9.359
Chile,6.334,10.114
Mexico,6.330,9.850
Malta,6.300,10.661
Panama,6.265,10.305
Poland,6.260,10.453
Nicaragua,6.259,8.618
Latvia,6.213,10.370
Bahrain,6.173,10.776
Guatemala,6.150,9.116
Kazakhstan,6.144,10.166
Serbia,6.144,9.854
Cyprus,6.130,10.611
Japan,6.129,10.616
Croatia,6.125,10.341
Brazil,6.125,9.582
El Salvador,6.122,9.089
Hungary,6.041,10.419
Argentina,6.024,9.959
Honduras,6.023,8.635
Uzbekistan,6.014,8.948
Malaysia,6.012,10.169
Portugal,5.968,10.429
South Korea,5.951,10.693
Greece,5.931,10.288
Mauritius,5.902,9.957
Thailand,5.843,9.751
Mongolia,5.840,9.372
Kyrgyzstan,5.825,8.486
Moldova,5.819,9.499
China,5.818,9.738
Vietnam,5.763,9.287
Paraguay,5.738,9.510
Montenegro,5.722,9.813
Jamaica,5.703,9.165
Bolivia,5.684,8.985
Russia,5.661,10.210
Bosnia and Herzegovina,5.633,9.616
Colombia,5.630,9.584
Dominican Republic,5.569,9.811
Ecuador,5.559,9.270
Peru,5.526,9.402
Philippines,5.523,8.979
Bulgaria,5.466,10.087
Nepal,5.360,8.256
Armenia,5.342,9.615
Tajikistan,5.330,8.237
Algeria,5.329,9.300
Hong Kong S.A.R. of China,5.308,10.966
Albania,5.277,9.567
Indonesia,5.277,9.385
South Africa,5.275,9.478
Congo (Brazzaville),5.267,8.095
North Macedonia,5.254,9.703
Venezuela,5.211,5.527
Laos,5.111,8.962
Georgia,5.109,9.646
Guinea,5.072,7.880
Ukraine,5.071,9.314
Ivory Coast,5.053,8.576
Gabon,5.035,9.537
Nigeria,4.981,8.496
Cameroon,4.973,8.217
Mozambique,4.954,7.116
Iraq,4.941,9.098
State of Palestine,4.908,8.716
Morocco,4.903,8.973
Iran,4.876,9.610
Senegal,4.855,8.155
Mauritania,4.724,8.591
Burkina Faso,4.638,7.667
Namibia,4.631,9.121
Turkiye,4.614,10.307
Ghana,4.605,8.596
Pakistan,4.555,8.540
Niger,4.501,7.091
Tunisia,4.497,9.244
Kenya,4.487,8.458
Sri Lanka,4.442,9.491
Uganda,4.432,7.716
Chad,4.397,7.261
Cambodia,4.393,8.385
Benin,4.374,8.103
Myanmar,4.372,8.404
Bangladesh,4.282,8.685
Gambia,4.279,7.648
Mali,4.198,7.655
Egypt,4.170,9.367
Togo,4.137,7.673
Jordan,4.120,9.130
Ethiopia,4.091,7.739
Liberia,4.042,7.277
India,4.036,8.759
Madagascar,4.019,7.290
Zambia,3.982,8.074
Tanzania,3.694,7.857
Comoros,3.545,8.075
Malawi,3.495,7.302
Botswana,3.435,9.629
Congo (Kinshasa),3.207,7.007
Zimbabwe,3.204,7.641
Sierra Leone,3.138,7.394
Lebanon,2.392,9.478
Afghanistan,1.859,7.324
